ID do Problema,Descrição,Estado,Gravidade,Pontos da História,Caminho do Projeto,Variante de Local,Caminho,Linha,Coluna,ID do Incidente,Link de Ajuda,Nome do Assembly,Versão do Assembly,Chave Pública do Assembly,Trecho
NuGet.0002,Recomenda-se a atualização do pacote NuGet,Active,Potential,1,ProductAPI.csproj,File,ProductAPI.csproj,,,Microsoft.EntityFrameworkCore 5.0.5,,,,,"Microsoft.EntityFrameworkCore, 5.0.5  Recomendação:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 8.0.25"
NuGet.0002,Recomenda-se a atualização do pacote NuGet,Active,Potential,1,ProductAPI.csproj,File,ProductAPI.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 5.0.5,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 5.0.5  Recomendação:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 8.0.25"
NuGet.0002,Recomenda-se a atualização do pacote NuGet,Active,Potential,1,ProductAPI.csproj,File,ProductAPI.csproj,,,Microsoft.EntityFrameworkCore.Design 5.0.5,,,,,"Microsoft.EntityFrameworkCore.Design, 5.0.5  Recomendação:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 8.0.25"
NuGet.0002,Recomenda-se a atualização do pacote NuGet,Active,Potential,1,ProductAPI.csproj,File,ProductAPI.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 5.0.2,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 5.0.2  Recomendação:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 8.0.23"
NuGet.0002,Recomenda-se a atualização do pacote NuGet,Active,Potential,1,ProductAPI.csproj,File,ProductAPI.csproj,,,Microsoft.EntityFrameworkCore.Tools 5.0.5,,,,,"Microsoft.EntityFrameworkCore.Tools, 5.0.5  Recomendação:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 8.0.25"
NuGet.0005,O pacote NuGet foi preterido,Active,Optional,1,ProductAPI.csproj,File,ProductAPI.csproj,,,Microsoft.EntityFrameworkCore 5.0.5,,,,,"Microsoft.EntityFrameworkCore, 5.0.5  Recomendação:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore, 9.0.14"
NuGet.0005,O pacote NuGet foi preterido,Active,Optional,1,ProductAPI.csproj,File,ProductAPI.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 5.0.5,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 5.0.5  Recomendação:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer, 9.0.14"
NuGet.0005,O pacote NuGet foi preterido,Active,Optional,1,ProductAPI.csproj,File,ProductAPI.csproj,,,Microsoft.EntityFrameworkCore.Design 5.0.5,,,,,"Microsoft.EntityFrameworkCore.Design, 5.0.5  Recomendação:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design, 9.0.14"
NuGet.0005,O pacote NuGet foi preterido,Active,Optional,1,ProductAPI.csproj,File,ProductAPI.csproj,,,Microsoft.EntityFrameworkCore.Tools 5.0.5,,,,,"Microsoft.EntityFrameworkCore.Tools, 5.0.5  Recomendação:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools, 10.0.5"
Project.0002,As estruturas de destino do projeto precisam ser alteradas,Active,Mandatory,1,ProductAPI.csproj,File,ProductAPI.csproj,,,,,,,,Estrutura de destino atual: net5.0 Estrutura de destino recomendada: net8.0
